"Education - Out-of-school rate for children of primary school age, both sexes (%)",1970,1970 notes,1971,1971 notes,1972,1972 notes,1973,1973 notes,1974,1974 notes,1975,1975 notes,1976,1976 notes,1977,1977 notes,1978,1978 notes,1979,1979 notes,1980,1980 notes,1981,1981 notes,1982,1982 notes,1983,1983 notes,1984,1984 notes,1985,1985 notes,1986,1986 notes,1987,1987 notes,1988,1988 notes,1989,1989 notes,1990,1990 notes,1991,1991 notes,1992,1992 notes,1993,1993 notes,1994,1994 notes,1995,1995 notes,1996,1996 notes,1997,1997 notes,1998,1998 notes,1999,1999 notes,2000,2000 notes,2001,2001 notes,2002,2002 notes,2003,2003 notes,2004,2004 notes,2005,2005 notes,2006,2006 notes,2007,2007 notes,2008,2008 notes,2009,2009 notes,2010,2010 notes,2011,2011 notes,2012,2012 notes,2013,2013 notes,2014,2014 notes,2015,2015 notes,2016,2016 notes,2017,2017 notes,2018,2018 notes
Bhutan,,,,,,,,,,,,,,,,,78.19206238,,75.4181366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.80373001,,45.83771896,,42.98271179,,39.71520996,,,,,,,,29.72396088,,25.89067078,,,,20.40192986,,15.9212904,,13.82581997,,13.05898952,,11.30745983,,12.64276981,,,,15.38051987,,17.00452995,,18.05340958,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.731019974,[foot]‡[/foot],4.577089787,[foot]‡[/foot],3.911040068,,3.667850018,,3.429130077,,2.916429996,,3.076060057,,3.033529997,,3.05644989,,3.326250076,,5.034500122,,2.023890018,,4.449409962,,6.720399857,,10.12576962,,10.53680038,,10.74534988,,10.1141901,,9.12005043,,7.498929977,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia/Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,56.66540146,,59.4406395,,57.86759186,,54.46688843,,50.21335983,,43.81264114,,39.31045151,,35.04710007,,34.00511169,,32.26057053,,27.97904968,,23.6944809,,,,19.76631927,,19.40189934,,17.45046997,,16.36454964,,15.4789896,,15.01745987,,14.48398018,,14.99510956,,12.97387028,,13.53833008,,13.79146004,,13.51290989,,21.27823067,,20.1305294,,,,16.36931992,,16.87225914,,15.77130985,[foot]‡[/foot],14.18957043,,14.03833961,,14.0570097,,13.27285957,,14.14914036,,13.06544018,,13.8003397,,14.26412964,,13.49895954,,,,,,7.169819832,,6.475080013,,10.4783802,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.927279949,[foot]‡[/foot],,,1.145069957,[foot]‡[/foot],3.272589922,[foot]+[/foot],5.704939842,[foot]+[/foot],4.414690018,[foot]+[/foot],3.920069933,[foot]+[/foot],,,7.525889874,[foot]+[/foot],1.461689949,[foot]+[/foot],3.414920092,[foot]+[/foot],,,4.302820206,[foot]+[/foot],1.450070024,[foot]+[/foot],2.676110029,[foot]+[/foot],2.563800097,[foot]+[/foot],3.147690058,[foot]+[/foot],2.79798007,[foot]+[/foot],,,,
British Virgin Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,10.36635017,,10.23408985,,19.95178032,,20.1023407,,23.9016304,,25.44758987,,24.12898064,,23.14114952,,,,19.89595985,,,,,,,,,,10.12841988,,8.32281971,,5.685989857,,5.565670013,,1.999040008,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.703219891,,,,,,3.346960068,,2.595580101,,3.632539988,,3.738470078,,3.384880066,,3.585530043,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.056079865,,4.98845005,,2.532979965,,2.414690018,,2.908459902,,2.893349886,,3.972249985,,3.728480101,,3.066080093,,4.260119915,,3.303719997,,0.473740011,,0.32971999,,0.68957001,,0.47984001,,0.489560008,,2.231209993,,3.616660118,,4.164159775,,5.207729816,,6.841080189,,,,,
Burkina Faso,,,89.94539642,,89.51220703,,,,,,,,,,87.44204712,,86.97318268,,86.48110199,,85.69155121,,84.67562103,,83.18589783,,81.91998291,,80.57095337,,78.51538086,,76.51454163,,74.86180878,,74.37802887,,74.08528137,,,,72.81773376,,72.29647827,,71.3129425,,70.08696747,,68.46485138,,,,,,65.01966095,,64.48542786,,63.25370026,,62.22814178,,63.27857971,,60.95145035,,58.85108185,,54.02714157,,50.37657166,,45.04639053,,38.99695969,,36.10548019,,39.78992081,,35.10894012,,33.92581177,,33.02779007,,31.69606972,,30.03992081,,24.14706993,,22.9950695,,,
